   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
  107   978.78600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   978.78600    -0.47586     1.55453     0.00011     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
  108   987.99000     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   987.99000    -0.44576     1.08500     0.00007     0.76688     0.46724           0   0.55632E+003   0.00000E+000   0.00000E+000
  109  1027.54700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1027.54700    -0.34286     1.03587     0.00005     0.58412     0.64713           1   0.57836E+003   0.00000E+000   0.00000E+000
  110  1043.05400     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1043.05400    -0.51690     1.98915     0.00016     1.18676     0.35570           1   0.58413E+003   0.00000E+000   0.00000E+000
  111  1108.67700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1108.67700    -0.74949     0.86017     0.00009     1.17805     0.05274           0   0.37993E+003   0.00000E+000   0.00000E+000
  112  1066.41300     0.00909     0.00088     0.00012     0.00000     0.00000  1000.00000     0.00000  1066.41300    -0.47244     0.93655     0.00006     0.77525     0.42964           1   0.99710E+003   0.00000E+000   0.00000E+000
  113  1070.28100     0.00911     0.00236     0.00033     0.00000     0.00000  1000.00000     0.00000  1070.28100    -0.56362     1.36608     0.00011     1.05054     0.30429           1   0.27718E+004   0.00000E+000   0.00000E+000
  114  1184.46500     0.00910     0.00119     0.00021     0.00000     0.00000  1000.00000     0.00000  1184.46500    -0.38123     2.00000     0.00012     0.88725     0.58788           1   0.88013E+003   0.00000E+000   0.00000E+000
  115  1182.11700     0.00908     0.00063     0.00009     0.00000     0.00000  1000.00000     0.00000  1182.11700    -0.92367     1.32368     0.00018     1.64554     0.00000           1   0.76410E+003   0.00000E+000   0.00000E+000
  116  1177.38700     0.00908     0.00025     0.00003     0.00000     0.00000  1000.00000     0.00000  1177.38700    -0.53005     1.22322     0.00010     0.94683     0.33787           1   0.52180E+003   0.00000E+000   0.00000E+000
  117  1235.87900     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1235.87900    -0.60204     1.11754     0.00010     1.03527     0.24587           0   0.39414E+002   0.00000E+000   0.00000E+000
